body_part,sub_category,symptom_description,twi_translation
Lungs & Breathing,Breathlessness,"Breathing has become a very heavy, exhausting labor for me.","Ahome a mehome no ayɛ adwuma a ɛyɛ duru na ɛma ɛbrɛ me."
Lungs & Breathing,Breathlessness,"I cannot take a deep breath; something stops it halfway.","Mintumi nhome denneennen; biribi si no kwan wɔ mfimfini."
Lungs & Breathing,Chest Feeling,"It feels as though there is a heavy fluid or weight resting on my lungs.","Ɛte sɛ nea nsuo duru bi anaa duru bi da m'ahrawa so."
Lungs & Breathing,Chest Feeling,"My lungs feel raw and full of burning heat with every breath I take.","M'ahrawa mu yɛ kusuu na ayɛ hyew wɔ ahome biara a mehome mu."
Lungs & Breathing,Chest Feeling,"There is a dull, heavy ache deep inside my chest that increases when I breathe.","Mewɔ ɔyaw a emu yɛ duru wɔ me koko mu pɛɛ a sɛ mehome a ɛyɛ kɛse."
Upper Abdomen,Stomach & Digestion,"My stomach feels like it is turning over and churning severely.","Me yafunu te sɛ nea ɛredane na ɛrehuru denneennen."
Upper Abdomen,Stomach & Digestion,"It feels like a sharp, acidic fire is burning a hole inside my stomach.","Ɛte sɛ nea ogya a ano yɛ dɛn, a ɛyɛ acid rehye tokuru wɔ me yafunu mu."
Upper Abdomen,Stomach & Digestion,"I feel intensely nauseous, as if my stomach wants to turn inside out.","Mete nka sɛ merebɔ ɔfe, sɛ nea me yafunu pɛ sɛ ɛdan ne ho."
Upper Abdomen,Stomach & Digestion,"It feels like a heavy rock or stone is sitting at the bottom of my stomach.","Ɛte sɛ nea ɔbo duru bi da me yafunu ase."
Upper Abdomen,Stomach & Digestion,"Every mouthful of food causes a sharp cramp right under my ribs.","Aduane biara a mede bɛ m'ano no de ɔyaw a ano yɛ dɛn ba wɔ me mfeɛ ase pɛɛ."
Upper Abdomen,Stomach & Digestion,"I have a constant sour, bubbling, and unsettled feeling in my upper belly.","Mewɔ nka a ɛyɛ nwononwono, a ɛrepuepue, na ɛnyɛ dɛ wɔ me yafunu soro."
Upper Abdomen,Bloating & Gas,"My stomach is so heavily bloated and full of gas that I feel like I will burst.","Me yafunu ahono kɛse na mframa ahyɛ mu ma araa ma mete sɛ nea ɛrepae."
Upper Abdomen,Bloating & Gas,"I feel a large, trapped bubble of gas in my stomach that refuses to move.","Mete sɛ nea mframa kɛse bi a wɔakyere wɔ me yafunu mu a ɛmpɛ sɛ ɛtu."
Upper Abdomen,Bloating & Gas,"My upper belly is stretched tight and hard, like an over-inflated balloon.","Me yafunu soro mu ayɛ den na ayɛ den, sɛ bɔɔlo a wɔabɔ mframa dodo."
Upper Abdomen,Bloating & Gas,"There is constant loud rumbling and gurgling noises inside my stomach.","Nnyigyei kɛse a ɛrehuru na ɛrepue daa wɔ me yafunu mu."
Upper Abdomen,Liver & Gallbladder Area,"I experience a severe, cramping pain under my right ribs after eating.","Sɛ medidi a, mewɔ ɔyaw a ɛrekyim me denneennen wɔ me mfeɛ nifa ase."
Upper Abdomen,Liver & Gallbladder Area,"There is a constant dull, heavy ache located just under my right rib cage.","Mewɔ ɔyaw a emu yɛ duru a ɛda hɔ daa wɔ me mfeɛ nifa dan mu ase pɛɛ."
Upper Abdomen,Liver & Gallbladder Area,"The pain under my right ribs shoots straight into my right shoulder blade.","Ɔyaw a ɛwɔ me mfeɛ nifa ase no kɔ me nifa batire mu tẽẽ."
Upper Abdomen,Liver & Gallbladder Area,"My upper right abdomen is highly tender and painful when pressed.","Me yafunu nifa soro yɛ mmerɛ kɛse na ɛyɛ yaw sɛ wɔhyɛ so a."
Lower Abdomen,Cramping & Spasms,"My lower stomach is tied up in very tight, twisting knots.","Me yafunu ase no asa wɔ nsɔe a ɛyɛ den, a ɛredane."
Lower Abdomen,Cramping & Spasms,"I am having severe abdominal cramps that come and go in heavy waves.","Mewɔ yafunu yaw a ano yɛ den a ɛba na ɛkɔ wɔ asorɔkye mu."
Lower Abdomen,Cramping & Spasms,"It feels as if my intestines are being tightly wrung out like a wet cloth.","Ɛte sɛ nea wɔrekyim me yafunu mu nneɛma denneennen sɛ ntama a afɔ."
Lower Abdomen,Cramping & Spasms,"My belly keeps seizing up, tightening, and becoming as hard as a stone.","Me yafunu kɔ so kyekyere, ɛyɛ den, na ɛyɛ den sɛ ɔbo."
Lower Abdomen,Cramping & Spasms,"I have a severe, gripping abdominal pain that forces me to double over.","Mewɔ yafunu yaw a ano yɛ den a ɛma me kyia."
Lower Abdomen,Localised Pain,"I am experiencing a constant, dull ache in the lower right side of my belly.","Mete ɔyaw a emu yɛ duru a ɛda hɔ daa wɔ me yafunu nifa ase."
Lower Abdomen,Localised Pain,"I have a sharp, stabbing pain localized low down on my left side.","Mewɔ ɔyaw a ano yɛ dɛn a ɛda me benkum ase pɛɛ."
Lower Abdomen,Localised Pain,"I feel a deep, throbbing ache centered right around my navel.","Mete ɔyaw a emu yɛ duru na ɛrehunu wɔ me funuma ho pɛɛ."
Lower Abdomen,Localised Pain,"There is a ripping or tearing sensation in my groin when I try to move.","Mete sɛ nea biribi rete wɔ me nan ase sɛ mepɛ sɛ mekeka me ho a."
Lower Abdomen,Localised Pain,"My lower abdomen feels heavily full, weighted, and bloated.","Me yafunu ase ayɛ ma, ayɛ duru, na ahono."
Lower Abdomen,Acute & Severe,"It is a sharp, tearing pain that goes straight through from my belly to my back.","Ɛyɛ ɔyaw a ano yɛ dɛn, a ɛrete a efiri me yafunu mu kɔ m'akyi tẽẽ."
Lower Abdomen,Acute & Severe,"My belly is so tender that even the weight of my clothes or bedsheet hurts.","Me yafunu yɛ mmerɛ araa ma me ntama anaa mpa ho ntama duru mpo yɛ yaw."
Lower Abdomen,Acute & Severe,"I feel a sudden, catastrophic pain inside my stomach as if something exploded.","Mete ɔyaw a ano yɛ den prɛko pɛ wɔ me yafunu mu sɛ nea biribi apae."
Lower Abdomen,Acute & Severe,"I cannot stand up straight; the abdominal pain forces me to stay bent double.","Mintumi nnyina hɔ tẽẽ; yafunu yaw no ma mete ase akyea."
Lower Abdomen,Acute & Severe,"It feels as though something has suddenly ruptured or burst inside my belly.","Ɛte sɛ nea biribi apae prɛko pɛ wɔ me yafunu mu."
Pelvis,Pelvic Pain,"I feel a severe, deep cramping pain right in the center of my pelvis.","Mete ɔyaw a emu yɛ duru, a ɛrekyim me wɔ me nan ase mfimfini pɛɛ."
Pelvis,Pelvic Pain,"I have a dull, spreading ache across my entire pelvic and groin area.","Mewɔ ɔyaw a emu yɛ duru a ɛtrɛ wɔ me nan ase ne me nan ase nyinaa."
Pelvis,Pelvic Pain,"I feel a sharp, knife-like stab in my lower abdomen whenever I sit down.","Sɛ metena ase a, mete sɛ nea wɔde sekan a ano yɛ dɛn wɔ me yafunu ase."
Pelvis,Pelvic Pain,"There is a raw, throbbing ache deep inside my hip and pelvic bones.","Mewɔ ɔyaw a emu yɛ duru na ɛrehunu wɔ me sere ne me nan ase nnompe mu pɛɛ."
Pelvis,Pelvic Pain,"My pelvic pain is so severe that it shoots down into both of my thighs.","Me nan ase yaw no ano yɛ den araa ma ɛrekɔ me srɛ mmienu no mu."
Pelvis,Bladder & Urination,"I feel a severe burning, sharp pain every time I attempt to pass urine.","Mete ɔhyew a ano yɛ den, ɔyaw a ano yɛ dɛn bere biara a mepɛ sɛ medwene."
Pelvis,Bladder & Urination,"I feel a constant, urgent pressure to urinate, but only a few drops come out.","Mete nhyɛsoɔ a emu yɛ den a ɛho hia sɛ medwene, nanso nsuo nketewa bi na ɛba."
Pelvis,Bladder & Urination,"There is a heavy, continuous pressure in my lower bladder area that remains.","Mewɔ nhyɛsoɔ a emu yɛ duru, a ɛtoa so wɔ me dwensɔtwaa ase a ɛkɔ so."
Pelvis,Bladder & Urination,"Passing urine feels extremely sharp and painful, like passing broken glass.","Sɛ medwene a, ɛyɛ yaw kɛse, sɛ nea wɔfa ahwehwɛ a abubu."
Pelvis,Bladder & Urination,"I noticed blood in my urine, accompanied by a deep ache in my lower back.","Mihuu mogya wɔ me dwene mu, na ɔyaw a emu yɛ duru wɔ m'akyi ase ka ho."
Upper Back,Muscle & Soft Tissue,"It feels like a large, painful knot is stuck right between my shoulder blades.","Ɛte sɛ nea nsɔe kɛse a ɛyɛ yaw bi asi wɔ m'abatire ntam pɛɛ."
Upper Back,Muscle & Soft Tissue,"I have a burning ache across my shoulders that is traveling up into my neck.","Mewɔ ɔyaw a ɛrehye wɔ m'abatire ho a ɛrekɔ m'ekyɛn mu."
Upper Back,Muscle & Soft Tissue,"The muscles in my upper back feel tightly knotted, stiff, and painful.","Me batire soro ntini ayɛ den, ayɛ den, na ɛyɛ yaw."
Upper Back,Muscle & Soft Tissue,"It feels like a hot, burning iron is being pressed against my shoulder blade.","Ɛte sɛ nea dadde a ɛyɛ hyew a ɛrehye no rehyɛ m'abatire so."
Upper Back,Breath-Related Pain,"I experience a sharp, stabbing pain in my upper back whenever I breathe in deeply.","Mete ɔyaw a ano yɛ dɛn wɔ m'akyi soro bere biara a mehome mu denneennen."
Upper Back,Breath-Related Pain,"Every time I take a deep breath, a knife-like pain shoots through my ribs to my back.","Bere biara a mehome mu denneennen no, ɔyaw a ɛte sɛ sekan no hyɛ me mfeɛ mu kɔ m'akyi."
Upper Back,Stiffness,"My mid-back feels completely stiff, frozen, and refuses to bend.","M'akyi mfimfini ayɛ den koraa, ayɛ nwunu, na ɛmpɛ sɛ ɛkyea."
Upper Back,Stiffness,"Whenever I move my arms, a sharp pain shoots directly through my upper spine.","Sɛ mekeka me basa a, ɔyaw a ano yɛ dɛn no fa m'akyi berɛmo soro mu tẽẽ."
Upper Back,Stiffness,"My upper spine is so rigid that I cannot turn my body to look behind me.","M'akyi berɛmo soro yɛ den araa ma mintumi nnane me nipadua nhwɛ m'akyi."
Lower Back,General Lumbar Pain,"My lower back feels completely broken, weak, and exhausted.","M'akyi ase te sɛ nea abubu koraa, ayɛ mmerɛ, na abrɛ."
Lower Back,General Lumbar Pain,"There is a deep, nagging, continuous ache in my lower back that refuses to stop.","Mewɔ ɔyaw a emu yɛ duru, a ɛhaw, a ɛtoa so wɔ m'akyi ase a ɛmpɛ sɛ ɛgyae."
Lower Back,General Lumbar Pain,"My lower back feels locked in a permanent, tight, painful cramp.","M'akyi ase te sɛ nea asi wɔ nsɔe a ɛyɛ den, a ɛyɛ yaw mu afebɔɔ."
Lower Back,General Lumbar Pain,"I have a dull, heavy ache spreading right across my waistline.","Mewɔ ɔyaw a emu yɛ duru a ɛtrɛ wɔ m'asene mu pɛɛ."
Lower Back,General Lumbar Pain,"It hurts severely to bend forward even slightly; my back simply locks up.","Sɛ mekyea kakra mpo a, ɛyɛ yaw kɛse; m'akyi si koraa."
Lower Back,General Lumbar Pain,"My lower back burns with intense heat after sitting for just a few minutes.","Sɛ metena ase simma kakra a, m'akyi ase hyehye me denneennen."
Lower Back,Spine & Structural,"My lower spine feels so weak, as if it will snap if I stand up straight.","M'akyi berɛmo ase yɛ mmerɛ araa, sɛ nea ɛbɛbu sɛ megyina hɔ tẽẽ a."
Lower Back,Spine & Structural,"It feels as though my back vertebrae are grinding against each other roughly.","Ɛte sɛ nea m'akyi berɛmo nnompe reyɛ wɔn ho wɔn ho denneennen."
Lower Back,Spine & Structural,"I feel a clicking or popping sensation in my spine whenever I twist my waist.","Mete sɛ nea biribi repue wɔ m'akyi berɛmo mu sɛ midan m'asene a."
Lower Back,Spine & Structural,"The pain feels like a deep, boring ache localized right inside the back bone.","Ɔyaw no te sɛ nea emu yɛ duru, a ɛda m'akyi dompe mu pɛɛ."
Lower Back,Morning Stiffness,"My lower back is so stiff in the morning that I have to struggle to get out of bed.","M'akyi ase yɛ den anɔpa araa ma ɛsɛ sɛ mepere ansa na mafi mpa so."
Lower Back,Morning Stiffness,"I can barely stand upright for the first hour after waking up from sleep.","Mintumi nnyina hɔ tẽẽ yiye wɔ dɔnhwere a edi kan a menyane no mu."
Lower Back,Morning Stiffness,"My entire spine feels completely rigid and locked until I move around for some time.","M'akyi berɛmo nyinaa yɛ den koraa na asi kosi sɛ mekeka me ho kakra."
Spine & Sciatica,Sciatica & Radiating Pain,"A sharp, electric shock of pain just shot from my back down into my leg.","Ɔyaw a ano yɛ dɛn sɛ ɛlektrɔnik bi pue firi m'akyi kɔ me nan mu."
Spine & Sciatica,Sciatica & Radiating Pain,"It feels like a burning, hot electrical wire running down the back of my thigh.","Ɛte sɛ nea waya a ɛrehye, a ɛyɛ hyew a ɛfa me srɛ akyi."
Spine & Sciatica,Sciatica & Radiating Pain,"The pain originates in my lower back and shoots directly into my buttock.","Ɔyaw no fi m'akyi ase na ɛkɔ m'apampam mu tẽẽ."
Spine & Sciatica,Sciatica & Radiating Pain,"I have a sharp, traveling pain that moves from my waist all the way down to my toes.","Mewɔ ɔyaw a ano yɛ dɛn a ɛnam firi m'asene mu kosi me nan ase."
Spine & Sciatica,Sciatica & Radiating Pain,"My back pain shoots down my leg and causes my foot to go completely numb.","M'akyi yaw no kɔ me nan mu na ɛma me nan yɛ dinn koraa."
Spine & Sciatica,Nerve & Sensory,"My lower back is numb, and the dead sensation is spreading further down my leg.","M'akyi ase ayɛ dinn, na nka a ayɛ dinn no retrɛ kɔ me nan mu."
Spine & Sciatica,Nerve & Sensory,"I feel a strange crawling sensation moving along my spine.","Mete nka bi a ɛyɛ nwanwa sɛ nea ɛrekeka wɔ m'akyi berɛmo mu."
Spine & Sciatica,Nerve & Sensory,"There is a constant vibrating or buzzing numbness in my lower back area.","Mewɔ nka a ɛrewoso anaa ɛrepue a ayɛ dinn wɔ m'akyi ase daa."
Spine & Sciatica,Nerve & Sensory,"I have lost strength in one leg; it keeps buckling and failing to support me.","Me nan baako mu ahoɔden asa; ɛkɔ so gu na entumi nsoa me."
Kidney & Flank,Flank Pain,"I have an agonizing pain in my side that comes in severe, unbearable waves.","Mewɔ ɔyaw a ano yɛ den wɔ m'afa a ɛba wɔ asorɔkye a ano yɛ den a wontumi nnyina ano."
Kidney & Flank,Flank Pain,"It feels like a heavy wedge is being hammered into one side of my lower back.","Ɛte sɛ nea wɔrehye biribi duru bi hyɛ m'akyi ase fa baako."
Kidney & Flank,Flank Pain,"I have a dull, throbbing ache deep under my ribs at the back on one side.","Mewɔ ɔyaw a emu yɛ duru na ɛrehunu wɔ me mfeɛ ase wɔ akyi baako fam."
Kidney & Flank,Flank Pain,"It is a sharp, stabbing flank pain that radiates down into my groin area.","Ɛyɛ ɔyaw a ano yɛ dɛn a ɛfa m'afa a ɛkɔ me nan ase."
Kidney & Flank,Flank Pain,"The pain in my side is so intense that no position allows me to lie down comfortably.","Ɔyaw a ɛwɔ m'afa no ano yɛ den araa ma biara nni hɔ a ɛma metumi ada hɔ yiye."
Kidney & Flank,Associated Symptoms,"My lower back pain is so severe and agonizing that it is making me vomit.","M'akyi ase yaw no ano yɛ den na ɛyɛ amanehunu araa ma ɛma mefe."
Kidney & Flank,Associated Symptoms,"I am experiencing high fever and shivering chills along with this deep back ache.","Mewɔ atiridii kɛse ne awɔw a ɛrewoso ka ɔyaw a emu yɛ duru wɔ m'akyi no ho."
Kidney & Flank,Associated Symptoms,"I am passing bloody urine, accompanied by a sharp, stabbing pain in my side.","Mereworo nsuo a mogya wom, na ɔyaw a ano yɛ dɛn wɔ m'afa ka ho."
Kidney & Flank,Associated Symptoms,"The pain in my back jolts severely whenever I travel on a bumpy road.","Sɛ menam ɔkwan a ɛyɛ nkekae so a, ɔyaw a ɛwɔ m'akyi no yɛ kɛse."
Shoulder,Pain & Aching,"My shoulder feels as if it has been severely torn apart from the inside.","M'abatire te sɛ nea atete denneennen firi mu."
Shoulder,Pain & Aching,"I have a constant deep, grinding ache inside my shoulder joint.","Mewɔ ɔyaw a emu yɛ duru a ɛrewɔ wɔ m'abatire hyɛn mu daa."
Shoulder,Pain & Aching,"It feels like a sharp knife is piercing the top of my shoulder.","Ɛte sɛ nea sekan a ano yɛ dɛn rehyɛ m'abatire soro."
Shoulder,Pain & Aching,"My shoulder aches so severely that it wakes me up whenever I roll onto it.","M'abatire yɛ me yaw araa ma sɛ midane kɔ so a, ɛnyane me."
Shoulder,Mobility & Instability,"I can barely raise my arm above my waist without experiencing severe pain.","Mintumi nkora m'asa nkɔ soro nsen m'asene a minnya ɔyaw kɛse."
Shoulder,Mobility & Instability,"My shoulder joint feels loose, as if it has dislocated out of its socket.","M'abatire hyɛn mu yɛ mmerɛ, sɛ nea afiri ne sibea."
Shoulder,Mobility & Instability,"My shoulder clicks, catches, and locks whenever I try to lift my arm.","Sɛ mepɛ sɛ mema m'asa so a, m'abatire yɛ nnyigyei, ɛkyere, na ɛsi."
Shoulder,Mobility & Instability,"My arm feels completely powerless; I cannot lift any object with it.","M'asa mu nni ahoɔden koraa; mintumi nkora biribiara."
Shoulder,Nerve & Radiating Pain,"A sharp, shooting pain travels from my shoulder straight down my arm.","Ɔyaw a ano yɛ dɛn a ɛretu firi m'abatire mu kɔ m'asa mu tẽẽ."
Shoulder,Nerve & Radiating Pain,"My shoulder pain radiates upward into my neck and the base of my head.","M'abatire yaw no trɛ kɔ soro kɔ m'ekyɛn ne me tiri ase."
Shoulder,Nerve & Radiating Pain,"There is a burning, tingling numbness running from my shoulder to my fingers.","Mewɔ ɔhyew, nka a ɛrewoso a ayɛ dinn a efiri m'abatire mu kɔ me nsateaa mu."
Elbow & Forearm,Pain & Tenderness,"My elbow is highly tender; even a light touch makes me flinch with pain.","Me batire yɛ mmerɛ kɛse; sɛ wɔde ka no kakra mpo a, ɛma mewoso ɔyaw."
Elbow & Forearm,Pain & Tenderness,"I feel a burning pain on the outer elbow that worsens when I grip something.","Mete ɔyaw a ɛrehye wɔ me batire akyi a sɛ mekye biribi a ɛyɛ kɛse."
Elbow & Forearm,Pain & Tenderness,"There is a sharp pain on the inner elbow when I extend or swing my arm.","Mewɔ ɔyaw a ano yɛ dɛn wɔ me batire mu sɛ mekeka m'asa mu anaa mehinhim a."
Elbow & Forearm,Pain & Tenderness,"My forearm experiences a deep, heavy ache after any continuous hand work.","Me batire ase nya ɔyaw a emu yɛ duru sɛ mede me nsa yɛ adwuma bere tenten bi a."
Elbow & Forearm,Mobility,"I cannot straighten my elbow fully; it locks before it can extend.","Mintumi nte me batire mu koraa; ɛsi ansa na ɛretrɛ."
Elbow & Forearm,Mobility,"My elbow feels heavily stiff and refuses to bend as it normally should.","Me batire yɛ den kɛse na ɛmpɛ sɛ ɛkyea sɛnea ɛsɛ."
Elbow & Forearm,Nerve Pain,"A sharp, electric shock sensation shoots from my elbow into my small fingers.","Nka a ano yɛ dɛn sɛ ɛlektrɔnik bi pue firi me batire mu kɔ me nsateaa nketewa mu."
Elbow & Forearm,Nerve Pain,"My forearm goes numb and weak when I keep my elbow bent for too long.","Sɛ mekora me batire akyea kyɛ a, me batire ase yɛ dinn na ɛyɛ mmerɛ."
Wrist & Hand,Pain & Tenderness,"My wrist feels completely weak; I lack the strength to lift a simple cup.","Me nsa so mu yɛ mmerɛ koraa; minni ahoɔden sɛ mema kuruwa mpo so."
Wrist & Hand,Pain & Tenderness,"I feel a sharp, biting pain in my wrist whenever I twist or rotate it.","Mete ɔyaw a ano yɛ dɛn wɔ me nsa so mu sɛ midan anaa mihinhim a."
Wrist & Hand,Pain & Tenderness,"There is a constant, throbbing ache deep inside my wrist joint.","Mewɔ ɔyaw a emu yɛ duru na ɛrehunu wɔ me nsa so hyɛn mu daa."
Wrist & Hand,Pain & Tenderness,"My palm and the base of my thumb ache deeply after any manual task.","Me nsa yam ne me nsa so nkesua ase yɛ me yaw denneennen sɛ mede me nsa yɛ adwuma biara a."
Wrist & Hand,Stiffness & Swelling,"My fingers are so stiff and swollen that I cannot close them into a fist.","Me nsateaa ayɛ den na ahono araa ma mintumi mmɔ nkitinkiti."
Wrist & Hand,Stiffness & Swelling,"Every single joint in my hand feels swollen, dry, and painful to move.","Me nsa mu hyɛn biara ahono, awu, na ɛyɛ yaw sɛ mekeka a."
Wrist & Hand,Stiffness & Swelling,"My fingers lock in a bent position, and I must use force to straighten them.","Me nsateaa si wɔ baabi a akyea, na ɛsɛ sɛ mede ahoɔden teateaa no."
Wrist & Hand,Nerve & Sensation,"My hand keeps falling asleep, becoming completely dead and numb.","Me nsa da ara kwa, na ɛyɛ dinn koraa na ɛyɛ dinn."
Wrist & Hand,Nerve & Sensation,"My fingers are completely numb, as if they are heavily wrapped up.","Me nsateaa ayɛ dinn koraa, sɛ nea wɔde nneɛma akyekyere mu denneennen."
Wrist & Hand,Nerve & Sensation,"There is a constant pins-and-needles vibrating sensation in my fingers.","Mewɔ nka a ɛrewoso sɛ nea wɔde pɔn ahyɛ me nsateaa mu daa."
Wrist & Hand,Nerve & Sensation,"It feels like a sharp electrical current just zapped from my wrist to my fingertips.","Ɛte sɛ nea ɛlektrɔnik kanea a ano yɛ dɛn pue firi me nsa so mu kɔ me nsateaa ano."
Hip,Pain & Aching,"I am experiencing a grinding, severe pain deep inside my hip joint.","Mete ɔyaw a emu yɛ duru a ɛrewɔ wɔ me sere hyɛn mu pɛɛ."
Hip,Pain & Aching,"I have a deep, heavy throbbing ache in my hip that prevents me from sleeping.","Mewɔ ɔyaw a emu yɛ duru na ɛrehunu wɔ me sere mu a ɛmma menna."
Hip,Pain & Aching,"My hip feels as if bone is rubbing roughly against bone when I walk.","Sɛ menam a, me sere te sɛ nea dompe rehye dompe so denneennen."
Hip,Pain & Aching,"The severe pain in my hip travels all the way down into my knee.","Ɔyaw kɛse a ɛwɔ me sere mu no kɔ me kotodwe mu koraa."
Hip,Mobility & Instability,"My hip joint catches and locks up suddenly when I attempt to take a step.","Sɛ mepɛ sɛ misi anammɔn a, me sere hyɛn mu kye na ɛsi prɛko pɛ."
Hip,Mobility & Instability,"I can barely rotate my leg outward without feeling a sharp, biting pain.","Mintumi nhinhim me nan nkɔ akyi koraa a minnya ɔyaw a ano yɛ dɛn."
Hip,Mobility & Instability,"Rising up from a chair causes a heavy, abnormal clicking sound in my hip.","Sɛ misɔre firi akonnwa so a, nnyigyei duru a ɛnyɛ ne kwan so ba wɔ me sere mu."
Hip,Mobility & Instability,"My hip feels entirely unstable, as if it will give way and cause me to fall.","Me sere mu nsi yie koraa, sɛ nea ɛbɛtwa na ama mahwe ase."
Hip,Groin & Referred Pain,"I feel a tearing, painful sensation deep in my groin area when moving.","Mete sɛ nea biribi rete wɔ me nan ase pɛɛ sɛ mekeka me ho a."
Hip,Groin & Referred Pain,"The hip pain shoots directly into my groin and inner thigh.","Sere yaw no kɔ me nan ase ne me srɛ mu tẽẽ."
Hip,Groin & Referred Pain,"There is a raw, throbbing ache localized deep inside my hip socket.","Mewɔ ɔyaw a emu yɛ duru na ɛrehunu a ɛda me sere hyɛn mu pɛɛ."
Knee,Pain & Aching,"My knee feels completely unstable, like it will collapse under my weight.","Me kotodwe mu nsi yie koraa, sɛ nea ɛbɛdwiriw wɔ me duru ase."
Knee,Pain & Aching,"I am experiencing a sharp, stabbing pain specifically on the inner side of my knee.","Mete ɔyaw a ano yɛ dɛn a ɛda me kotodwe mu pɔtee."
Knee,Pain & Aching,"My knee aches deeply with a heavy pain, especially during cold weather.","Me kotodwe yɛ me yaw denneennen a ɛyɛ duru, titiriw wɔ awɔw bere mu."
Knee,Pain & Aching,"There is a continuous, grinding ache located right behind my kneecap.","Mewɔ ɔyaw a emu yɛ duru a ɛrewɔ a ɛda me kotodwe nkesua akyi pɛɛ."
Knee,Swelling & Locking,"My knee is heavily swollen and stiff; it refuses to bend fully.","Me kotodwe ahono kɛse na ayɛ den; ɛmpɛ sɛ ɛkyea yiye."
Knee,Swelling & Locking,"My knee locks in place and refuses to straighten until I jolt it free.","Me kotodwe si wɔ baabi na ɛmpɛ sɛ ɛteateaa mu kosi sɛ mede ahoɔden teateaa no."
Knee,Swelling & Locking,"My knee feels very hot, tight, and tightly stretched like a balloon.","Me kotodwe yɛ hyew kɛse, ayɛ den, na ayɛ den sɛ bɔɔlo."
Knee,Injury & Instability,"I heard a loud pop inside my knee, and it immediately buckled under me.","Metee nnyigyei kɛse bi wɔ me kotodwe mu, na ɛhwee ase ntɛm ara."
Knee,Injury & Instability,"My knee repeatedly gives way when climbing stairs or walking on rough ground.","Me kotodwe kɔ so twa sɛ meforo antweri anaa menam fam a ɛyɛ den so a."
Knee,Injury & Instability,"I can feel a rough grinding sensation inside my knee with every single step.","Mete sɛ nea biribi rewɔ wɔ me kotodwe mu wɔ anammɔn biara a misi mu."
Lower Leg & Calf,Muscle Pain & Cramps,"I have a severe, agonizing cramp in my calf that has locked the muscle completely.","Mewɔ nsɔe a ano yɛ den a ɛyɛ amanehunu wɔ me nan ntini mu a asi no koraa."
Lower Leg & Calf,Muscle Pain & Cramps,"My calf muscle feels as if it suddenly tore or snapped apart.","Me nan ntini te sɛ nea atete prɛko pɛ."
Lower Leg & Calf,Muscle Pain & Cramps,"It feels like a tight band is wrapped around my lower leg, squeezing it hard.","Ɛte sɛ nea wɔde ntama akyekyere me nan ase denneennen, na ɛrekyim no."
Lower Leg & Calf,Muscle Pain & Cramps,"My shin bone feels like it is splitting from the inside when I walk fast.","Me nan dompe te sɛ nea ɛrepae firi mu sɛ menam ntɛm a."
Lower Leg & Calf,Swelling & Vascular,"My calf feels heavily tight, hot, and heavy like a lead weight.","Me nan ntini yɛ den, ɛyɛ hyew, na ayɛ duru sɛ duru."
Lower Leg & Calf,Swelling & Vascular,"My lower leg is swollen large like a balloon and feels like it will burst.","Me nan ase ahono kɛse sɛ bɔɔlo na ɛte sɛ nea ɛrepae."
Lower Leg & Calf,Swelling & Vascular,"I feel a throbbing, burning heat radiating upward from inside my calf.","Mete sɛ nea ɔhyew a ɛrehunu na ɛrehye refiri me nan ntini mu akɔ soro."
Lower Leg & Calf,Swelling & Vascular,"One lower leg looks much larger and fatter than the other and feels very firm.","Nan ase baako yɛ kɛse na ɛyɛ duru asen nea ɛka ho na ɛyɛ den."
Lower Leg & Calf,Nerve & Sensation,"There is a constant pins-and-needles vibrating in my leg that will not stop.","Mewɔ nka a ɛrewoso sɛ nea wɔde pɔn ahyɛ me nan mu a ɛrennyae."
Lower Leg & Calf,Nerve & Sensation,"I feel a strange crawling or fizzing sensation under the skin of my calf.","Mete nka bi a ɛyɛ nwanwa sɛ nea ɛrekeka anaa ɛrepue wɔ me nan ntini honam ase."
Lower Leg & Calf,Nerve & Sensation,"My lower leg feels completely dead, numb, and cold from the knee downward.","Me nan ase ayɛ dinn koraa, ayɛ dinn, na ayɛ nwunu firi kotodwe kɔ fam."
Ankle & Foot,Pain & Injury,"I heard a snap in my ankle, and now I cannot place any weight on that foot.","Metee nnyigyei bi wɔ me nan ho, na afei mintumi mfa me duru nsi nan no so."
Ankle & Foot,Pain & Injury,"My ankle is severely swollen and bruised; the ankle bone is no longer visible.","Me nan ho ahono kɛse na ayɛ kuru; nan ho dompe no nni hɔ bio."
Ankle & Foot,Pain & Injury,"The pain in my heel feels like stepping directly on a sharp nail with every step.","Ɔyaw a ɛwɔ me nan ase no te sɛ nea misi dadde a ano yɛ dɛn so wɔ anammɔn biara mu."
Ankle & Foot,Pain & Injury,"My ankle aches deeply with a heavy pain after walking even a short distance.","Me nan yɛ me yaw denneennen sɛ menantew kakra mpo a."
Ankle & Foot,Pain & Injury,"There is a sharp, tearing pain at the back of my heel when I try to push off.","Mewɔ ɔyaw a ano yɛ dɛn, a ɛrete wɔ me nan ase akyi sɛ mepɛ sɛ mepia a."
Ankle & Foot,Nerve & Sensation,"My feet feel icy cold even when the surrounding weather is perfectly hot.","Me nan yɛ nwunu sɛ nwunu sɛ wim tae yɛ hyew mpo a."
Ankle & Foot,Nerve & Sensation,"I feel a continuous burning, electric sensation in the sole of my foot.","Mete ɔhyew a ɛtoa so, sɛ ɛlektrɔnik wɔ me nan ase."
